engine,engine_label,condition,group,event_n,rise_8w_valid_n,rise_8w_probability,return_8w_median_pct,close_20_at_52w_valid_n,close_20_at_52w_probability,touch_20_within_52w_valid_n,touch_20_within_52w_probability,mae_52w_median_pct
investing_proxy,원형 MMRM 근사판,ma_order,150>200,666,651,0.5514592933947773,1.2416893599957346,618,0.41423948220064727,618,0.5776699029126213,-11.370055201185814
investing_proxy,원형 MMRM 근사판,ma_order,150<=200,157,157,0.5222929936305732,0.4283095326323982,150,0.42,150,0.6533333333333333,-11.849647068574148
investing_proxy,원형 MMRM 근사판,ma_tightness,5~10%,297,290,0.5275862068965518,0.8924201307221935,280,0.44285714285714284,280,0.6285714285714286,-11.132715701761391
investing_proxy,원형 MMRM 근사판,ma_tightness,0~2%,145,145,0.6137931034482759,2.910048834179424,135,0.35555555555555557,135,0.5333333333333333,-9.6754294472999
investing_proxy,원형 MMRM 근사판,ma_tightness,10% 초과,165,161,0.5217391304347826,0.2003514107276727,152,0.5592105263157895,152,0.7039473684210527,-15.284700703943667
investing_proxy,원형 MMRM 근사판,ma_tightness,2~5%,216,212,0.5424528301886793,1.2178447438917939,201,0.30845771144278605,201,0.4975124378109453,-9.887427890428537
investing_proxy,원형 MMRM 근사판,macd_zero,-2.5~-1%,240,235,0.548936170212766,1.3636386952781576,229,0.4410480349344978,229,0.5982532751091703,-11.567704519495958
investing_proxy,원형 MMRM 근사판,macd_zero,0% 이상,231,229,0.5327510917030568,0.817694048671691,215,0.3395348837209302,215,0.5069767441860465,-11.609330725597324
investing_proxy,원형 MMRM 근사판,macd_zero,-2.5% 미만,139,136,0.5294117647058824,0.5487685557666433,127,0.6299212598425197,127,0.8110236220472441,-11.16907773093846
investing_proxy,원형 MMRM 근사판,macd_zero,-1~0%,231,226,0.5619469026548672,1.4690175601451916,214,0.35514018691588783,214,0.5560747663551402,-11.891931014158347
investing_proxy,원형 MMRM 근사판,ath_margin,50% 초과,123,122,0.6065573770491803,3.347855522166354,120,0.5583333333333333,120,0.7416666666666667,-12.043413677300384
investing_proxy,원형 MMRM 근사판,ath_margin,5~15%,247,239,0.5230125523012552,0.5525086085659492,222,0.32432432432432434,222,0.49099099099099097,-11.822204002041337
investing_proxy,원형 MMRM 근사판,ath_margin,30~50%,155,154,0.525974025974026,0.9959293787193624,148,0.4797297297297297,148,0.6959459459459459,-10.900768429129682
investing_proxy,원형 MMRM 근사판,ath_margin,15~30%,253,249,0.5783132530120482,2.2105527215965592,235,0.43829787234042555,235,0.5787234042553191,-10.770438447677154
investing_proxy,원형 MMRM 근사판,ath_margin,0~5%,63,62,0.41935483870967744,-1.1540391922834126,60,0.2833333333333333,60,0.5166666666666667,-12.884651497367395
kis_compatible,KIS 호환판,ma_order,150>200,707,693,0.5598845598845599,1.751832659658814,663,0.4751131221719457,663,0.6319758672699849,-10.633387907204728
kis_compatible,KIS 호환판,ma_order,150<=200,107,107,0.5514018691588785,1.23763196344866,103,0.5533980582524272,103,0.7378640776699029,-14.033789240697017
kis_compatible,KIS 호환판,ma_tightness,5~10%,317,310,0.5387096774193548,1.3077814012881106,303,0.45874587458745875,303,0.6435643564356436,-10.30386103548615
kis_compatible,KIS 호환판,ma_tightness,10% 초과,197,192,0.5260416666666666,0.8707017177247534,181,0.56353591160221,181,0.712707182320442,-14.61562222611884
kis_compatible,KIS 호환판,ma_tightness,0~2%,109,109,0.5779816513761468,2.0389291174656154,104,0.47115384615384615,104,0.6730769230769231,-9.309299516735791
kis_compatible,KIS 호환판,ma_tightness,2~5%,191,189,0.6137566137566137,2.578539814779246,178,0.4606741573033708,178,0.5674157303370787,-9.122809667910719
kis_compatible,KIS 호환판,macd_zero,-1~0%,227,223,0.5874439461883408,2.5037830956747165,214,0.4205607476635514,214,0.6308411214953271,-9.668082346879995
kis_compatible,KIS 호환판,macd_zero,-2.5% 미만,176,171,0.5497076023391813,1.2522305999473016,163,0.6932515337423313,163,0.8282208588957055,-12.390309878881023
kis_compatible,KIS 호환판,macd_zero,-2.5~-1%,205,202,0.5594059405940595,1.5920746303006883,197,0.5076142131979695,197,0.6345177664974619,-11.156453438984338
kis_compatible,KIS 호환판,macd_zero,0% 이상,226,224,0.5267857142857143,0.4672859654481498,211,0.38388625592417064,211,0.5402843601895735,-11.893384914575089
kis_compatible,KIS 호환판,ath_margin,50% 초과,99,98,0.5408163265306123,1.239397291105293,96,0.6979166666666666,96,0.7708333333333334,-16.63198463573915
kis_compatible,KIS 호환판,ath_margin,15~30%,260,257,0.5953307392996109,2.993936689684462,247,0.5060728744939271,247,0.659919028340081,-10.948828453819726
kis_compatible,KIS 호환판,ath_margin,30~50%,110,109,0.5963302752293578,2.7423009353244154,103,0.6504854368932039,103,0.8543689320388349,-9.388852410281622
kis_compatible,KIS 호환판,ath_margin,5~15%,287,279,0.5232974910394266,0.4682773641471849,267,0.3782771535580524,267,0.550561797752809,-10.48310857894178
kis_compatible,KIS 호환판,ath_margin,0~5%,78,77,0.5064935064935064,0.3021644915247368,72,0.3333333333333333,72,0.5138888888888888,-10.872880217248976
