engine,engine_label,outcome_flow_name,flow_family,event_n,ticker_n,return_4w_median_pct,rise_4w_probability,return_8w_median_pct,rise_8w_probability,return_13w_median_pct,rise_13w_probability,return_26w_median_pct,rise_26w_probability,return_52w_median_pct,rise_52w_probability,close_20_at_52w_valid_n,close_20_at_52w_probability,mae_8w_median_pct,mae_52w_median_pct
investing_proxy,원형 MMRM 근사판,강한 즉시 상승·장기 확장형,지속상승,48,29,6.763476353421794,0.7708333333333334,17.6453589727775,0.8958333333333334,27.62586901238985,0.875,62.912652697834226,1.0,130.21312323641018,1.0,48,1.0,-5.139070940107071,-6.568514038012463
investing_proxy,원형 MMRM 근사판,완만한 즉시 상승 지속형,지속상승,326,94,3.1614185618327966,0.7208588957055214,5.473869817937638,0.7760736196319018,8.92210699384698,0.8865030674846626,17.65966973397095,0.9815950920245399,32.51533819247538,0.9659442724458205,323,0.7058823529411765,-3.3134393075159974,-5.0941277947398
investing_proxy,원형 MMRM 근사판,즉시 급락·장기 부진형,중장기실패,28,22,-10.612573330468027,0.07142857142857142,-18.680530199698538,0.03571428571428571,-26.174819252473377,0.0,-31.33353163187285,0.0,-29.097284528737536,0.07142857142857142,28,0.0,-21.873368040504722,-51.61829744688674
investing_proxy,원형 MMRM 근사판,초기 버팀 후 중장기 붕괴형,중장기실패,47,35,-0.036130049064087,0.48936170212765956,1.1683736393573565,0.5531914893617021,-1.7815784446297722,0.44680851063829785,-15.361711905241238,0.1276595744680851,-21.660239280882095,0.15217391304347827,46,0.0,-6.597219707721114,-38.34746324889278
investing_proxy,원형 MMRM 근사판,초기 하락 후 1년 내 보합 회복형,약세·느린회복,342,84,-1.2645898752188856,0.43859649122807015,-3.7409985237220553,0.3157894736842105,-4.083773630392373,0.31871345029239767,-2.4425888540959173,0.40058479532163743,3.125051112632804,0.5911764705882353,340,0.1588235294117647,-7.661122620005617,-17.807119620882375
kis_compatible,KIS 호환판,강한 즉시 상승·장기 확장형,지속상승,55,28,8.73015993156252,0.7818181818181819,17.443499713386323,0.8909090909090909,27.41310309071228,0.8545454545454545,65.25930798593211,1.0,128.07866499030823,1.0,55,1.0,-3.5333763979198074,-5.851000993231025
kis_compatible,KIS 호환판,등락 혼합·방향 미확정형 A,중장기실패,18,14,-1.917267478018192,0.3888888888888889,-0.6095029438571875,0.4444444444444444,-7.332879217127631,0.2777777777777778,-26.628855274439097,0.0,-39.69434034309547,0.05555555555555555,18,0.0,-10.866558874736892,-51.880855736287835
kis_compatible,KIS 호환판,등락 혼합·방향 미확정형 B,약세·느린회복,102,61,2.7301775248747995,0.6274509803921569,2.946749245424596,0.6568627450980392,3.998057677940347,0.696078431372549,1.3782471166315369,0.5392156862745098,-4.830655646534643,0.38613861386138615,101,0.039603960396039604,-3.7793563528928544,-17.062908369828577
kis_compatible,KIS 호환판,완만한 즉시 상승 지속형,지속상승,369,93,2.506140092965503,0.6856368563685636,4.3657828429758405,0.7154471544715447,7.681061464464256,0.8346883468834688,15.053307862441256,0.9566395663956639,31.29155530450951,0.9700272479564033,367,0.7057220708446866,-4.007798048950684,-5.5256446167779805
kis_compatible,KIS 호환판,즉시 급락·장기 부진형,중장기실패,26,23,-9.166458538714318,0.15384615384615385,-15.636868751425453,0.0,-25.110981714194487,0.0,-25.317870220351868,0.0,-23.434874628098346,0.08,25,0.04,-19.281558132947907,-48.29694170384538
kis_compatible,KIS 호환판,초기 하락 후 1년 내 보합 회복형,약세·느린회복,219,85,-2.5105506197537264,0.3470319634703196,-6.302209107732148,0.2374429223744292,-7.312794309931981,0.228310502283105,-3.210398330185149,0.3926940639269406,9.605613115089762,0.7123287671232876,219,0.2968036529680365,-10.564259173637758,-19.64515898494644
