engine,engine_label,pattern_id,pattern_name,evaluation_event_n,evaluation_ticker_n,rise_1w_valid_n,rise_1w_probability,rise_1w_ci_low,rise_1w_ci_high,return_1w_median_pct,rise_4w_valid_n,rise_4w_probability,rise_4w_ci_low,rise_4w_ci_high,return_4w_median_pct,rise_8w_valid_n,rise_8w_probability,rise_8w_ci_low,rise_8w_ci_high,return_8w_median_pct,rise_26w_valid_n,rise_26w_probability,rise_26w_ci_low,rise_26w_ci_high,return_26w_median_pct,rise_52w_valid_n,rise_52w_probability,rise_52w_ci_low,rise_52w_ci_high,return_52w_median_pct,mae_8w_median_pct,mae_52w_median_pct,close_20_at_52w_valid_n,close_20_at_52w_probability,close_20_at_52w_ci_low,close_20_at_52w_ci_high,touch_20_within_52w_valid_n,touch_20_within_52w_probability,touch_20_within_52w_ci_low,touch_20_within_52w_ci_high,weeks_to_gain_20_median_among_hits,rank_status,goal_52w_rank,immediate_rank,safety_rank,overall_score,official_overall_rank,rise_8w_wf_prediction_n,rise_8w_wf_brier,rise_8w_wf_mean_predicted_probability,rise_26w_wf_prediction_n,rise_26w_wf_brier,rise_26w_wf_mean_predicted_probability,rise_52w_wf_prediction_n,rise_52w_wf_brier,rise_52w_wf_mean_predicted_probability,close_20_at_52w_wf_prediction_n,close_20_at_52w_wf_brier,close_20_at_52w_wf_mean_predicted_probability,touch_20_within_52w_wf_prediction_n,touch_20_within_52w_wf_brier,touch_20_within_52w_wf_mean_predicted_probability
investing_proxy,원형 MMRM 근사판,long_ma_cluster_discount_recovery,장기선 밀집 저항·회복 시도형,111,60,111,0.5225225225225225,0.4304120089432602,0.6131262746291094,0.307077613928941,110,0.6090909090909091,0.5156993628097574,0.6951201422160979,1.6023748190029496,110,0.6272727272727273,0.5340520520704517,0.7119040371263794,2.833654737509928,109,0.7064220183486238,0.6150766369695372,0.783712961023035,10.099244527283568,105,0.7619047619047619,0.6721129566522359,0.8332091935277541,14.72968380370152,-5.701407858130403,-9.699131060103994,105,0.42857142857142855,0.3380881176078474,0.5240967505248826,105,0.6761904761904762,0.5818439542505351,0.758100037688731,17.0,official,3.0,1.0,1.0,1.9000000000000001,1.0,110.0,0.23574826169532198,0.6215042117904885,109.0,0.21001565291075683,0.6768485262849632,105.0,0.19407515652390375,0.6614932927133756,105.0,0.24704149782975465,0.4443069422435455,105.0,0.22115800870441404,0.6479065053107983
investing_proxy,원형 MMRM 근사판,long_ma_near_initial_rebound,급락 후 장기선 부근 초기 반등형,75,51,75,0.5066666666666667,0.3959837845781367,0.6166998975220928,0.1913747218745154,75,0.5733333333333334,0.46052792329276937,0.6789925798097526,1.0970599721528584,75,0.5333333333333333,0.42157537389084965,0.6418430366102965,0.7038554103814931,75,0.7066666666666667,0.5955955483261394,0.7975985967809675,14.213625995791569,74,0.8243243243243243,0.7222800662989051,0.8943579146331688,30.800501370923705,-8.025067965920496,-12.542953695932805,74,0.6486486486486487,0.535007626173502,0.747618115087032,74,0.7972972972972973,0.6921222305619936,0.8731292519590741,18.0,official,1.0,3.0,3.0,2.0,2.0,75.0,0.25149147103651404,0.5643324723939698,75.0,0.21143389520775407,0.6453661856169657,74.0,0.16120761249950455,0.7001168861516175,74.0,0.2655797935004674,0.4573535988687696,74.0,0.17364153235553567,0.6912343725066478
investing_proxy,원형 MMRM 근사판,normal_pullback_recovery,완만한 조정·정상 회복형,550,90,548,0.5054744525547445,0.46372203236961546,0.5471506556172971,0.04590931114054615,542,0.5608856088560885,0.5188216122665772,0.6020926182914952,0.6369452524346952,540,0.5351851851851852,0.49301758707637855,0.5768557176959387,0.7634280614734368,527,0.6242884250474383,0.582180291278976,0.664597720918916,4.964904427640815,511,0.6927592954990215,0.6514438431439213,0.7311982238940595,11.66042705037238,-5.263758700032639,-11.156433521670284,511,0.36203522504892366,0.3215387859045176,0.40459049606322167,511,0.5244618395303327,0.4811408372452343,0.5674178007037481,26.0,official,4.0,2.0,2.0,3.0,3.0,540.0,0.25174808646646163,0.5787421894950028,527.0,0.23528701419802817,0.6033251769890003,511.0,0.2164115083802218,0.6384582988269618,511.0,0.23298185712993216,0.32039662744904285,511.0,0.25095858335489335,0.491580818442586
investing_proxy,원형 MMRM 근사판,long_uptrend_extended_pullback,장기 상승추세 고이격 조정형,80,41,80,0.4375,0.33413860916143806,0.5465886570305026,-0.5365667800786622,78,0.5641025641025641,0.45361986570375756,0.6685675945895508,1.4943829607485526,76,0.4868421052631579,0.3778372877915117,0.5971130697102026,-1.2356229477992087,72,0.5833333333333334,0.46807697931465553,0.6901478252526017,6.817202161074787,71,0.7323943661971831,0.6194601134214525,0.8214719651349224,16.328806337177948,-9.226511407828962,-21.142412343878835,71,0.4788732394366197,0.36677523911181087,0.5931400264739731,71,0.6619718309859155,0.5461661814275548,0.7611501157481005,18.0,official,2.0,4.0,4.0,3.1,4.0,76.0,0.25371575783689343,0.5105466972531066,72.0,0.24540966576992584,0.5549689306513365,71.0,0.21228280449353046,0.6048793711628546,71.0,0.2620651106140386,0.3754661829474265,71.0,0.226992816194768,0.6595890489583959
investing_proxy,원형 MMRM 근사판,deep_crash_below_long_ma,대폭락·장기선 크게 아래 급반등 준비형,23,21,23,0.6521739130434783,0.44890335377263,0.8118872406120227,1.424948881184207,23,0.391304347826087,0.2215762279247795,0.592144776086183,-1.1036446283699597,23,0.6086956521739131,0.4078552239138171,0.7784237720752205,5.834220398574108,23,0.9130434782608695,0.7320401892425634,0.9758199955157796,29.351808618214204,22,0.9545454545454546,0.7820195416134267,0.991930572378736,42.27831519631151,-10.100315713677988,-9.529975502714361,22,0.7272727272727273,0.5184826598759762,0.8684923971201053,22,0.9545454545454546,0.7820195416134267,0.991930572378736,13.0,insufficient_sample,,,,,,23.0,0.24069274149208505,0.615712348152367,23.0,0.13016006980824524,0.6963062690989777,22.0,0.08453171103962052,0.7549779537961357,22.0,0.23436411436512133,0.5433661923755969,22.0,0.06411040830143888,0.8140380867308767
kis_compatible,KIS 호환판,long_ma_cluster_discount_recovery,장기선 밀집 저항·회복 시도형,106,56,106,0.49056603773584906,0.39740700785165506,0.5843849309893538,-0.13605151184785108,106,0.5754716981132075,0.4803608851671633,0.6653036041047655,1.7266435264809532,105,0.6476190476190476,0.5525114869310618,0.7323064522612962,3.484072142114014,103,0.7766990291262136,0.6871583963606127,0.846342368503145,16.73830660019382,103,0.8446601941747572,0.7624742780120963,0.9020617624322336,27.385958295851864,-6.155475624844453,-10.323240127859034,103,0.5922330097087378,0.4956761254395168,0.6821574628484024,103,0.7766990291262136,0.6871583963606127,0.846342368503145,17.0,official,2.0,1.0,1.0,1.5,1.0,105.0,0.23228137156435685,0.5998013069336222,103.0,0.1831239618338039,0.677360421684794,103.0,0.14292491210871924,0.7414326016703228,103.0,0.24715499132215957,0.5251080798990676,103.0,0.1774343540406802,0.7195026580195241
kis_compatible,KIS 호환판,long_ma_near_initial_rebound,급락 후 장기선 부근 초기 반등형,67,44,67,0.4925373134328358,0.3765217187108694,0.6093622535188515,-0.0178201356939244,65,0.5384615384615384,0.4185339926647454,0.6540966587719579,0.8902384609226655,64,0.5,0.3810209474394701,0.6189790525605299,0.08674147583588865,63,0.8253968253968254,0.7137857247924102,0.8996060342053211,16.207176195294792,62,0.8709677419354839,0.7655067270982637,0.9331412194071697,38.57248702060008,-7.9588610311112635,-13.628850395826397,62,0.7741935483870968,0.6559437908464204,0.8604481696141172,62,0.8709677419354839,0.7655067270982637,0.9331412194071697,22.0,official,1.0,4.0,3.0,2.2,2.0,64.0,0.2558841287754057,0.5527687581189389,63.0,0.1821834704617134,0.6362501434767982,62.0,0.1403025043073318,0.7126504665314225,62.0,0.24663954679397834,0.515105423355433,62.0,0.13063692779232844,0.7420054005348612
kis_compatible,KIS 호환판,normal_pullback_recovery,완만한 조정·정상 회복형,537,89,537,0.547486033519553,0.5051989752825228,0.5890985294080489,0.255721065840464,530,0.5679245283018868,0.5254118434499695,0.6094596597095168,0.9208841220873842,530,0.5528301886792453,0.5102714740970371,0.5946285839158967,1.3077814012881106,517,0.6769825918762089,0.6354957434554741,0.7158587750852629,7.348551482276266,505,0.7445544554455445,0.7047706738745338,0.7806457475240969,14.764784621983274,-4.912275608090172,-10.48310857894178,505,0.4099009900990099,0.3678432259409426,0.4533191451227198,505,0.5742574257425742,0.5307312461843977,0.6166624040378584,26.0,official,4.0,2.0,2.0,3.0,3.0,530.0,0.24939129032573404,0.5810493337115459,517.0,0.2201188758881702,0.6446750649539528,505.0,0.1953240295407737,0.6811927374733077,505.0,0.24443663978086894,0.3609546812165835,505.0,0.24636684305005338,0.5361086688385402
kis_compatible,KIS 호환판,long_uptrend_extended_pullback,장기 상승추세 고이격 조정형,105,53,105,0.4380952380952381,0.34704364160611384,0.5335165774422521,-1.140626393537525,104,0.5769230769230769,0.4808980890817771,0.6674678563993841,1.9302685419072652,102,0.5294117647058824,0.43324770610972513,0.623440854940483,3.9372963857446153,99,0.6363636363636364,0.5381589889509573,0.7243810441214535,8.253857142249089,98,0.7857142857142857,0.6945197258584814,0.8553545655005581,23.408040770957662,-7.054698747928928,-16.023972859850886,98,0.5408163265306123,0.44248041592362974,0.6360730542705189,98,0.7142857142857143,0.6180933267840759,0.7943123917352038,20.5,official,3.0,3.0,4.0,3.3000000000000007,4.0,102.0,0.25638831756939506,0.5924844948313654,99.0,0.233943471338027,0.6004702414468461,98.0,0.18608204682496476,0.652515039240977,98.0,0.2632554314161781,0.42139915919591475,98.0,0.2070356539041634,0.6675832408883422
kis_compatible,KIS 호환판,deep_crash_below_long_ma,대폭락·장기선 크게 아래 급반등 준비형,17,17,17,0.47058823529411764,0.26165106442409436,0.6903676493999558,-0.6170290612586227,17,0.47058823529411764,0.26165106442409436,0.6903676493999558,-0.7203230670369876,17,0.47058823529411764,0.26165106442409436,0.6903676493999558,-4.7802386039848095,17,0.6470588235294118,0.41300363485218694,0.8269027960275627,18.35453235644356,15,0.8666666666666667,0.6211801716767764,0.9626387408969346,58.34139432194088,-14.033789240697017,-23.38994922468395,15,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,0.8666666666666667,0.6211801716767764,0.9626387408969346,12.0,insufficient_sample,,,,,,17.0,0.2858957412522714,0.6598642857000242,17.0,0.23349681889487423,0.7027295466320214,15.0,0.1270639580579526,0.7600331532260458,15.0,0.16268313862994058,0.6489447480324929,15.0,0.11635684235025963,0.8803789255190613
